date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:41	29444/29444	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:41%20GMT	https://nocarbschallenge.com/	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/index.html	(from )
11:41:41	288224/288224	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:40%20GMT	https://nocarbschallenge.com/1/quiz2/male	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/quiz2/male.html	(from )
11:41:42	24147/24147	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:42%20GMT	https://nocarbschallenge.com/1/summary/dc0450de29580e11320319a4b26a9a3c	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/summary/dc0450de29580e11320319a4b26a9a3c.html	(from )
11:41:42	165923/165923	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:42%20GMT	https://nocarbschallenge.com/1/checkout/dc0450de29580e11320319a4b26a9a3c	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/checkout/dc0450de29580e11320319a4b26a9a3c.html	(from )
11:41:44	288226/288226	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:43%20GMT	https://nocarbschallenge.com/1/quiz2/female	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/quiz2/female.html	(from )
11:41:45	24150/24150	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:44%20GMT	https://nocarbschallenge.com/1/summary/ef17275060711a3ff2b9fcd1bfe4ee4d	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/summary/ef17275060711a3ff2b9fcd1bfe4ee4d.html	(from )
11:41:46	165943/165943	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2006:11:45%20GMT	https://nocarbschallenge.com/1/checkout/ef17275060711a3ff2b9fcd1bfe4ee4d	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/1/checkout/ef17275060711a3ff2b9fcd1bfe4ee4d.html	(from )
11:41:47	946378/946378	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://nocarbschallenge.com/assets/images/share/facebook-share.png?v=20240820	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/assets/images/share/facebook-shareb481.png	(from https://nocarbschallenge.com/)
11:41:48	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Tue,%2001%20Jan%201980%2000:00:01%20GMT	https://nocarbschallenge.com/favicon/favicon.ico?v=20240820	/Users/moniskhan/websites/nocarbs/nocarbschallenge.com/favicon/faviconb481.ico	(from https://nocarbschallenge.com/)
11:41:55	3031/3031	---MC-	200	added ('OK')	text/css	date:Thu,%2020%20Mar%202025%2006:11:53%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@100;200;300;400;500;600;700;800;900&family=Lato:wght@100;300;400;500;700;900&display=swap	/Users/moniskhan/websites/nocarbs/fonts.googleapis.com/css2439b.css	(from https://nocarbschallenge.com/)
